Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.7051528219058066,2.57,0.6931999999999999
ADVANC,1.78335712679254,-0.4,-0.076
BANPU,0.1566653159606324,-0.74,-0.2977
BBL,1.107113638379615,-2.24,-0.3857
BDMS,0.2029659236886629,1.5,0.26
BEM,0.09627752697438069,-0.39,-0.1344
BH,1.431395347084494,0.51,0.0552
BTS,0.1058814218440738,0.96,0.1605
CBG,0.9635266433711813,1.52,0.3741
CENTEL,0.3895626794039598,-0.23,-0.1545
COM_7,0.1258535886354679,-1.3,-0.3613
CPALL,0.707112242195673,-0.03,-0.0246
CPF,0.2794780965684008,2.43,0.5392
CPN,0.4598408531744628,-0.01,-0.0897
DELTA,0.0597464163505427,0.76,0.1189
EA,0.8084964310880824,0.54,0.0583
EGCO,2.514925992402871,-1.42,-0.3185
GLOBAL,0.1453479451273782,-0.2,-0.1301
GPSC,0.5246144709624253,0.55,0.0556
HMPRO,0.2439835056405208,1.53,0.3608
INTUCH,0.4087473956490661,0.88,0.1153
IVL,0.4940451618256654,2.11,0.6957
KBANK,1.372612130654882,-1.41,-0.33299999999999996
KTB,0.1070238645694043,-2.22,-0.38689999999999997
KTC,0.488395764517909,-1.13,-0.33740000000000003
LH,0.08392116364681164,-1.26,-0.2541
MINT,0.3477000767707176,-1.0,-0.3362
MTC,0.4485365044255211,1.69,0.5204
PTT,0.3278773576056118,-0.39,-0.1822
PTTEP,0.9012799984219564,-1.03,-0.3936
PTTGC,0.6426245951737729,0.44,0.003
RATCH,0.3885594222038747,-0.56,-0.1565
SAWAD,0.5523709464182294,0.73,0.1121
SCC,2.682885476560598,0.16,-0.0129
TISCO,0.6886424820068511,0.97,0.1465
TOP,0.7707901533027426,-0.54,-0.262
TTB,0.02104448442071896,-0.38,-0.1845
TU,0.1525154372674002,2.33,0.5092
WHA,0.0349590201566042,0.8,0.1309
